,MPD01,MPD02,MPD03,MPD04,MPD05,MPD06,MPD07,MPD08,MPD09,MPD10,MPD11,MPD12,MPD14,MPD15,MPD16
1865,1.208793563,1.239528765,1.017827892,NA,1.052994785,0.963871858,0.913057532,0.896679677,NA,1.157047352,1.146672673,1.509108135,0.942311058,1.40718967,0.803015711
1866,0.907008477,1.2091131,1.248651425,NA,1.378946911,0.836745476,1.008930557,0.836070269,NA,1.000914417,1.110065272,1.149867172,0.783945414,1.550224847,0.777700659
1867,0.956859304,1.013095311,0.850888619,NA,0.996729883,0.635913483,0.480908223,0.825093569,NA,0.636087132,1.115803941,0.985626298,0.826057874,1.155605987,0.748692051
1868,1.188599336,1.179844751,1.043596059,NA,1.454707655,1.226707046,1.000914359,0.827910722,NA,0.93701964,1.475250325,0.996724628,0.92819713,1.386267069,1.126840941
1869,0.780590319,0.704216696,0.728030211,NA,0.823314394,0.599644934,0.615088592,0.381510838,NA,0.440716625,0.464540479,0.549862202,0.391793466,0.613300261,0.376624667
1870,0.945384642,1.143029367,0.786224847,NA,0.968547216,0.869748694,0.671022142,0.877334776,NA,0.807047573,0.918759097,0.871592296,0.710092063,1.017189104,0.868906083
1871,0.773153595,0.969304625,0.646604934,NA,0.749218137,0.64001693,0.502334938,0.611821155,NA,0.566861165,0.836454276,0.722053099,0.485957461,0.68271174,0.722105696
1872,0.706436953,0.997371785,0.490569627,NA,0.724179239,0.549981613,0.344279937,0.620861435,NA,0.552553777,0.239779336,0.697394773,0.538284291,0.977296046,0.685970411
1873,1.043133685,1.16227227,0.714388263,NA,0.841339108,1.026198587,0.590143493,0.758010068,NA,0.764867688,0.55347446,0.851443208,0.642233041,0.912932809,0.982286411
1874,0.917609108,0.743527286,0.710610141,NA,0.80592903,1.043334141,0.647224249,0.659912767,NA,0.811536267,0.625083509,0.788955151,0.600218317,1.07786901,0.919510229
1875,0.767568157,0.840107207,0.822424247,NA,1.084662101,0.535636604,0.903345921,0.56926695,NA,0.794813265,0.393454998,0.643651173,0.569687013,0.59887914,0.869178388
1876,0.803572228,0.902696594,0.839297921,NA,1.247550319,0.846384857,0.724261391,0.833992575,NA,0.932381052,0.536150859,0.89107562,0.742415675,0.500920996,0.640624734
1877,1.250539613,1.299310261,1.179077454,NA,2.113638228,1.341979159,1.62270598,1.301154192,NA,1.196092686,0.948972969,1.287757352,1.416756593,1.000557305,1.13462165
1878,1.168161778,1.252574531,1.25391078,NA,1.643407335,1.426085417,1.547565806,1.24783587,NA,1.280753568,0.976077881,1.1358055,1.476176551,1.079567369,1.397994705
1879,1.024332621,1.184752973,1.422964257,NA,1.776014846,1.448082571,1.944864145,1.192591779,NA,1.297278383,1.097471948,1.26305988,1.632502335,1.231733496,1.124218068
1880,0.717692821,0.914916142,1.158494366,NA,1.273174979,0.69999733,1.132650391,0.994182191,NA,1.127528714,0.667271342,1.049857901,0.967360346,0.833124392,0.908902803
1881,0.717241496,0.979090002,1.172128058,NA,1.490107091,1.007421434,1.275651847,1.19646218,NA,1.545299593,0.85690986,1.159330455,1.406077297,0.852145801,1.586192453
1882,1.146624339,1.101795525,1.198778325,NA,1.468342982,1.202793147,1.650716425,1.363134612,NA,1.587428602,1.227767316,1.315140416,1.84138523,1.18721159,1.626123528
1883,0.668169148,0.790983736,0.956064707,0.69818456,0.950521236,0.670189847,0.823348183,0.975459491,NA,1.083458133,1.092781644,0.886480809,1.000544173,0.803444779,1.051658623
1884,0.858016964,0.584003294,0.583709426,0.273808905,0.377977391,0.494771543,0.439405608,0.613016107,NA,0.728653664,0.597102976,0.94993356,1.034745848,0.880982781,0.586559793
1885,0.70448528,1.037066204,1.009961742,1.002628615,1.089413079,1.192200149,1.41616869,0.970260394,NA,1.183419226,1.225876818,1.114908287,1.08242207,0.818888003,1.140895483
1886,0.902389275,0.686225749,1.087304887,1.02246903,0.906049068,1.149130218,1.075642775,0.933401458,NA,0.977876476,0.661449703,0.929812371,0.888058402,0.64110689,0.658597494
1887,1.045069627,0.796709845,1.290752463,0.99878203,1.241727724,1.137374402,1.175334563,0.889066187,NA,1.301522009,1.286113391,1.091603428,1.3968085,0.803976768,0.767743008
1888,1.136284175,0.848515163,1.455842455,1.026236767,1.237784204,1.332510465,1.481517883,1.136870315,NA,1.038580887,1.397531912,1.252506543,1.41432048,1.186380406,0.917513514
1889,1.309462706,0.696861994,1.136263633,0.898438755,0.989629606,1.267164347,1.034356859,0.84660229,NA,0.888120188,1.006395067,0.950819111,1.102577739,1.338827438,0.621906783
1890,0.834209197,0.624957783,0.942733686,0.895621172,0.7272442,0.70998551,0.602945609,0.721852986,NA,0.864240674,0.761296645,1.006395364,0.964140127,0.874801108,0.461622236
1891,0.75716305,0.65630159,0.879452569,0.816610968,0.64681431,0.876766897,0.944972666,0.5423755,NA,0.984057393,0.822529021,0.992944921,1.0013085,1.0239618,0.540604075
1892,0.684210796,0.701125433,0.795146548,0.61758044,0.782968859,0.927095003,0.805887255,0.62631595,NA,0.704268174,0.799879352,0.698970904,0.71230043,0.683022905,0.603544026
1893,0.732574292,0.684617811,0.664828911,0.643406779,0.627925316,0.817256401,0.481241526,0.771009487,NA,0.646002888,0.722174043,0.89233002,0.904216577,0.696830554,0.725514717
