,TMD01,TMD02,TMD03,TMD04,TMD05,TMD06,TMD07,TMD08,TMD09,TMD10,TMD11,TMD12,TMD13,TMD14,TMD15,TMD16,TMD17,TMD18,TMD19,TMD20
1734,1.217557924,1.084759723,NA,0.985759658,NA,0.767982589,NA,NA,NA,1.047370457,NA,0.68631456,0.633330429,1.205051409,NA,0.99388938,NA,NA,NA,NA
1735,1.124785103,0.989631291,NA,1.022358598,NA,0.796809814,NA,NA,NA,1.043806497,NA,0.758210873,0.641529542,1.08156354,NA,1.097511484,NA,NA,NA,NA
1736,1.235359341,0.801490114,NA,0.808666903,NA,0.701509493,NA,NA,NA,1.400993219,NA,0.53172878,0.524783552,0.938099441,NA,0.9359631,NA,NA,NA,NA
1737,1.611790964,1.275218031,NA,1.243997483,NA,1.781153147,NA,NA,NA,1.561063474,NA,0.853833377,0.936288161,1.172326776,NA,1.17555228,NA,NA,NA,NA
1738,1.504772538,1.5357269,NA,1.433028597,NA,1.730848553,NA,NA,NA,1.761435185,NA,1.593728088,1.306636632,1.179484243,NA,1.289612405,NA,NA,NA,NA
1739,1.305733688,1.061830541,NA,1.016931184,NA,0.901563514,NA,NA,NA,1.194986483,NA,0.945998729,0.829932484,1.272432689,NA,1.386484097,NA,NA,NA,NA
1740,1.555433743,1.393129253,NA,0.961856206,NA,0.898655201,NA,NA,NA,0.804846166,NA,0.806737216,0.787505886,0.846951809,NA,1.678949894,NA,NA,NA,NA
1741,1.022341647,1.165760005,NA,0.686263168,NA,0.516032003,NA,NA,NA,0.53867987,NA,0.737256417,0.637553079,0.680498215,NA,1.04467611,NA,NA,NA,NA
1742,0.845579786,0.968141991,NA,0.690315803,NA,0.854632206,NA,NA,NA,0.578031132,NA,0.60314871,0.698854369,0.573402886,NA,0.953725223,NA,NA,NA,NA
1743,0.976896796,1.083765043,NA,0.648306679,NA,1.001565262,NA,NA,NA,0.819653189,NA,0.711586266,0.625446948,0.687350181,NA,1.343555863,NA,NA,NA,NA
1744,0.53084126,1.075804671,NA,0.548178324,NA,0.737371508,NA,NA,NA,0.80788323,NA,0.496577574,0.577670639,0.69402487,NA,0.994254065,NA,NA,NA,NA
1745,0.801104988,1.214927598,NA,0.969004304,NA,0.98829675,NA,NA,NA,1.068370182,NA,0.872359137,1.001663615,0.932235253,NA,1.16454133,NA,NA,NA,NA
1746,0.988231602,1.114803588,NA,0.970994025,NA,1.327068868,NA,NA,NA,0.855137504,NA,0.610954727,0.816112018,0.898105228,NA,1.617968954,NA,NA,NA,NA
1747,1.552115,1.762542262,NA,1.439992915,NA,1.39339799,NA,NA,NA,1.0545118,NA,1.078426698,1.223888646,1.590362524,NA,1.505167578,NA,NA,NA,NA
1748,1.419358002,1.364494566,NA,1.397981436,NA,1.355669766,NA,NA,NA,1.283399523,NA,1.120839729,1.180279642,1.322538237,NA,0.973040431,NA,NA,NA,NA
1749,1.19092134,1.027420678,NA,1.267541205,NA,1.193444902,NA,NA,NA,0.82091922,NA,1.267835349,1.281160877,1.177464857,NA,0.847484629,NA,NA,NA,NA
1750,1.623517385,1.002044193,NA,1.851851703,NA,1.186578188,NA,NA,NA,1.009686768,NA,1.394734519,1.148691967,2.029253362,NA,0.885297779,NA,NA,NA,NA
1751,0.927876692,1.101311949,NA,1.253038414,NA,0.680355169,NA,NA,NA,1.078230113,NA,1.116781592,1.340887385,1.115005539,NA,0.705438466,NA,NA,NA,NA
1752,1.378825921,1.268149595,NA,1.881989009,NA,1.568241645,NA,NA,NA,1.021317073,NA,1.992247003,1.628100652,1.63338805,NA,0.940024711,NA,NA,NA,NA
1753,1.245937361,1.043010878,NA,1.788862668,NA,0.984181064,NA,NA,NA,0.685072856,NA,1.34074349,1.281514753,1.367169455,NA,1.207870257,NA,NA,NA,NA
1754,1.059313369,1.041752657,NA,0.979065716,NA,0.968872696,NA,NA,NA,1.024557106,NA,1.036845664,1.019209404,0.880460204,NA,1.229082864,NA,NA,NA,NA
1755,1.241009978,1.095945201,NA,1.068360242,NA,1.398399635,NA,NA,NA,1.0180729,NA,1.29177161,1.438395757,1.115487572,NA,1.694180565,NA,NA,NA,NA
1756,0.765105858,0.654046877,NA,0.864153438,NA,0.648765744,NA,NA,NA,0.760357906,NA,1.083336251,0.949983024,0.700448484,NA,1.247390882,NA,NA,NA,NA
1757,0.596510557,0.397147967,NA,0.682307207,NA,0.756468264,NA,NA,NA,0.71786424,NA,0.679308955,1.603787989,0.606398906,NA,1.027310264,NA,NA,NA,NA
1758,0.645306486,0.467746072,NA,0.593164469,NA,0.803129921,NA,NA,NA,0.685286856,NA,0.752301634,1.267467805,0.678543127,NA,0.909078439,NA,NA,NA,NA
1759,0.552072011,0.596120675,NA,0.507493111,NA,0.601138257,NA,NA,NA,0.54668678,NA,0.751894209,0.691674697,0.531793165,NA,0.702026724,NA,NA,NA,NA
1760,0.68820944,0.582998365,NA,0.456049095,NA,0.74905349,NA,NA,NA,0.855053248,NA,0.53201903,0.801344658,0.791907296,NA,0.830416809,NA,NA,NA,NA
1761,0.77018481,0.7772289,NA,0.728627383,NA,0.831209324,NA,NA,NA,1.24339401,NA,0.968742016,0.948000563,0.829256507,NA,1.051590247,NA,NA,NA,NA
1762,1.099124313,0.990913301,NA,1.076773605,NA,1.110880918,NA,NA,NA,1.469548535,NA,1.552685883,1.201935428,1.207707407,NA,1.222192446,NA,NA,NA,NA
1763,1.030887272,1.24779739,NA,0.901747714,NA,1.396508645,NA,NA,NA,1.495474232,NA,1.331344308,1.53303434,1.356575483,NA,1.217299578,NA,NA,NA,NA
1764,0.763594503,0.959673992,NA,0.729792234,NA,0.809516931,NA,NA,NA,0.879419147,NA,1.18392337,1.131517028,0.944017892,NA,0.683777934,NA,NA,NA,NA
1765,0.908702149,1.199853503,NA,0.963574267,NA,1.170157183,NA,NA,NA,1.061364938,NA,1.40381151,1.471743472,1.080120979,NA,0.920917662,NA,NA,NA,NA
1766,1.137710289,1.014833588,NA,1.010586943,NA,1.135528382,NA,NA,NA,1.082683649,NA,1.181121637,1.093526937,1.179568054,NA,0.84392856,NA,NA,NA,NA
1767,1.091599406,0.98259999,NA,1.320602534,NA,1.141041538,1.180436288,NA,NA,1.187125944,NA,1.55028341,1.369896269,1.114755074,NA,1.294465016,NA,NA,NA,NA
1768,0.909231503,1.070709078,NA,1.152137713,NA,1.018309919,1.134130779,NA,NA,1.176269274,NA,1.343974023,1.354182165,1.040812768,NA,1.595901989,NA,NA,NA,NA
1769,0.624020272,0.824671552,NA,0.815805656,NA,1.052746807,0.989863038,NA,NA,0.752842354,NA,0.478775169,0.76452998,0.638124147,NA,0.76455157,NA,NA,NA,NA
