,SMD01,SMD02,SMD03,SMD04,SMD05,SMD06,SMD07,SMD08,SMD09,SMD10,SMD11,SMD12,SMD13,SMD14,SMD15,SMD16,SMD17,SMD18
1897,0.611364169,0.806265945,0.924789371,0.721794898,0.643542005,0.920285142,0.645609163,0.733742948,0.831867689,0.642052469,0.772456369,0.693044032,NA,0.714158413,NA,0.728290987,0.809159881,NA
1898,1.183431575,1.311800949,1.073431651,1.306272254,0.924729478,1.384857214,1.054596098,1.146722479,1.037875225,1.252265878,1.373192316,1.438601936,NA,1.385878358,NA,1.144940863,1.257087869,NA
1899,0.808061666,1.05854054,0.854290616,0.903257312,0.613604427,0.83489633,0.823410768,0.694493096,0.786101887,1.098963592,0.97272933,1.061156157,NA,0.863230852,NA,1.068756845,0.673212432,NA
1900,1.200649612,1.309009556,1.59299189,1.510361949,1.23290759,1.606055557,1.246234893,1.152837132,1.325139633,1.643912629,1.302565162,1.476392908,NA,1.414558213,NA,1.488071189,1.315911697,NA
1901,1.511417991,1.262088262,1.68346106,1.596846147,1.214890866,1.685302043,1.259093714,1.489346702,1.582111918,1.475641043,1.571925132,1.346122094,NA,1.612633813,NA,1.296724147,1.476548463,NA
1902,1.046266411,1.407114791,1.608947744,1.365850273,1.649798421,1.391358183,1.621499428,1.789643787,1.434463047,1.503742128,1.428753744,1.443311627,NA,1.337777822,NA,1.403226889,1.706656528,NA
1903,0.910378769,1.196522765,1.580451728,1.557767283,1.464027738,1.3541076,1.703189728,1.676455754,1.422760777,1.100992982,1.080903653,1.415831652,NA,1.074158861,NA,1.09484996,1.405020573,NA
1904,1.296438213,1.308294691,1.591778557,1.615685347,1.644366091,1.306478426,1.952362771,1.917335086,1.393700708,1.082134079,1.452102605,1.555577747,NA,1.210826092,NA,1.228015464,1.17856944,NA
1905,1.15838859,1.270743164,1.332215198,1.262982513,1.22431756,1.436454215,1.723921205,1.881402884,1.280259412,1.191530593,1.226145276,1.251283011,NA,1.201493947,NA,1.266249366,1.016438574,NA
1906,1.395554347,1.320439857,1.275874548,1.318949246,1.367562033,1.359513501,1.54327953,1.644433905,1.353196078,1.358575031,1.155769722,1.262693719,NA,1.197289451,NA,1.327950283,0.997773452,NA
1907,0.91645666,1.038532427,0.76047127,1.031235455,0.801011569,0.730830431,1.015319359,0.840909438,0.988690678,0.990172109,0.793587827,0.898165053,NA,1.088406509,NA,1.182223962,0.800900679,NA
1908,1.344572582,1.034945471,0.971020845,1.485636547,1.022230226,0.937701593,1.216206964,0.904490772,1.246195864,1.211573512,1.141816201,1.183035309,NA,1.169118685,NA,1.502478234,1.273775655,NA
1909,1.623224903,1.412103904,1.189994707,1.671861024,1.144307436,1.16230865,1.183683719,1.265200101,1.599303667,1.15686549,1.375426536,1.280316828,NA,1.541513468,NA,1.670620362,1.440054913,NA
1910,0.999997251,0.943643518,0.684118728,1.027746146,0.56242305,0.834981637,0.702073952,0.629455523,0.858261224,0.690940987,0.956014709,0.926649658,NA,1.033946024,NA,0.824783916,0.905873919,NA
1911,0.976426874,0.839692424,0.933847428,0.885931667,0.833518025,0.834920004,0.843599345,0.730726714,0.989231704,1.161079844,1.244730302,0.872077445,NA,1.059858867,NA,1.010590141,1.036827399,NA
1912,0.994559659,0.939223694,1.01445684,1.201204538,0.686985162,0.894469396,0.848225624,0.575600087,0.998330851,0.924229589,0.968396297,1.119007639,NA,0.977780823,NA,1.244491748,1.099019953,NA
1913,1.404342403,1.381639152,1.247932981,1.467306057,1.008767743,1.3228,1.028554672,1.10391754,1.254985311,1.505619033,1.667472099,1.376941837,NA,1.307772075,NA,1.501801877,1.334906839,NA
1914,1.220808498,1.218574485,1.205868028,1.472128522,1.031662489,1.405196028,1.07315457,1.308445328,1.274586031,1.504177767,1.534485925,1.381167764,NA,1.455359946,NA,1.322583563,1.258690108,NA
1915,1.292320236,1.411595219,1.501990128,1.420417529,1.306990756,1.767044054,1.109951464,1.274639935,1.393234185,1.284752147,1.449398351,1.234275975,NA,1.637997443,NA,1.43617105,1.247167502,NA
1916,1.569239495,1.657185779,1.467681769,1.738212888,1.176125749,1.685959524,1.042445103,1.471479359,1.319023997,1.640695055,1.613719724,1.456369424,NA,1.903205685,NA,1.626776623,1.426478872,NA
1917,1.095123461,1.579777046,1.052645486,0.918614592,1.186072414,1.177497979,1.27756628,1.217608152,0.96020644,0.941309597,1.367147708,1.005054711,NA,0.922626435,NA,0.87850472,0.749715645,0.78290301
1918,0.325854626,0.986902293,0.518835332,0.526144872,0.482181018,0.529330877,0.753910975,0.330275808,0.453682414,0.284515796,0.304769792,0.476586078,NA,0.438498673,NA,0.29543731,0.318819562,0.424632634
1919,0.96844225,0.91978391,0.726788678,0.948043513,1.035533197,1.011045298,1.16368871,1.063819431,0.861245555,0.85579326,0.876318018,1.004768978,NA,0.926568788,NA,0.885692512,1.002561773,0.666862568
1920,0.608415792,0.653072963,0.582282962,0.747078528,0.58218433,0.787564153,0.809408369,0.749234849,0.776579138,0.566262032,0.673664482,0.670581663,NA,0.740890426,NA,0.572673018,0.429445977,0.717726357
1921,0.89767311,0.886373519,0.91809154,0.911357527,1.026643267,1.025540097,1.235670583,0.925430808,0.979773512,0.677931045,0.847218024,0.863374891,NA,0.836643506,NA,0.7358426,0.775217811,0.97937381
1922,0.698863347,0.780947766,0.643407732,0.64647786,0.901980799,0.689387859,0.835537954,0.712067592,0.777591632,0.525896484,0.617308156,0.766610964,NA,0.756016577,0.68280309,0.436830885,0.557994574,0.623148206
1923,0.712959084,0.809454219,0.972699931,0.731315651,1.1350237,0.936589903,1.056786856,0.806107306,0.796531846,0.633422193,0.995194121,0.79358532,0.423273304,0.76446148,1.327497871,0.79819178,0.699236096,1.373880395
1924,0.80274744,0.671898779,0.576442234,0.947951391,0.490384323,0.722920951,0.686930522,0.629488971,0.591637375,0.397338085,0.706037906,0.73878474,0.790965396,0.643251626,0.912434775,0.862789689,0.540182119,0.898009998
