,VLD01,VLD02,VLD03,VLD04,VLD05,VLD06,VLD07,VLD08,VLD09,VLD10,VLD11,VLD12,VLD13,VLD14,VLD15
1851,0.64291129,0.611399049,0.625791166,0.671714589,0.727150696,0.713453261,0.781199109,0.556535112,0.900005179,0.529856682,1.084116264,NA,NA,0.665256547,0.531165764
1852,0.741411404,0.802355736,0.73698905,0.706389329,0.659417449,0.963704142,0.781695397,0.88811474,0.869354957,0.702141342,1.252310869,NA,NA,0.780762408,0.569968225
1853,0.837067963,0.731724836,0.701147256,0.787543449,0.811269957,0.727621508,0.664374496,0.946173812,0.888750264,0.697332434,1.125640865,NA,NA,0.682322011,0.493273468
1854,0.906028802,0.754790843,0.775690315,0.823128401,0.785408445,0.895764349,1.07940399,0.921145872,0.837515009,0.887909276,1.077772537,NA,NA,0.717780922,0.716498482
1855,0.861316584,0.910295527,0.800820879,0.672884232,0.607514877,0.63712661,1.319549525,0.643584472,1.186108132,0.844661063,0.976813178,NA,NA,0.834747152,0.610294246
1856,1.574796944,1.359015246,1.16648374,1.013184,0.699540023,1.022567712,1.440108245,1.345370817,1.594447725,0.866740765,1.356272747,NA,NA,1.589485903,0.773678781
1857,1.447381431,1.471887574,1.018964737,1.287515,0.909020836,1.408768168,1.737377619,1.230521765,1.470668788,1.158192914,1.313232056,NA,NA,1.125986409,1.314091351
1858,1.848848316,1.460348681,1.219178578,1.441263254,0.924428138,1.917318989,1.664209996,1.48142677,1.382723177,1.509207452,1.400711772,NA,NA,1.470786597,1.383291548
1859,1.062469082,1.081570442,1.10867212,1.116563751,1.015128607,1.319305726,1.361854975,0.969342858,0.774249569,1.001687468,1.116202785,NA,NA,0.928633626,1.444597609
1860,1.477764625,0.090230283,1.233032037,1.154664431,0.763047302,0.944114838,1.184933662,0.855034106,0.879486874,1.287408871,1.24101929,NA,NA,1.181487436,0.969459446
1861,1.777435407,0.804128583,1.457056594,1.520787968,1.845555891,1.866619202,1.498949879,1.24071377,1.641697464,1.479805174,1.332006597,NA,NA,1.360403876,1.413105577
1862,1.348097179,0.687707921,1.033683126,1.134480545,1.107589359,0.962242915,0.879765476,1.007183004,1.167957562,1.238471556,1.13461997,NA,NA,1.103350404,0.976870438
1863,0.903500826,0.643863177,1.03476338,0.993326671,1.321389764,1.291327306,1.091086173,0.885738422,1.164120818,1.120393824,1.24004348,NA,NA,1.000168576,1.21220735
1864,0.898466813,0.59193167,1.00593176,0.950641585,0.988232148,1.030191434,1.099337942,1.106469965,0.973273646,1.228604845,1.162652313,NA,NA,1.066473719,0.781755798
1865,0.761964554,0.456653799,0.810604671,0.883513398,0.876169852,0.745869717,1.039591538,0.701468005,1.148855702,0.891864494,0.899342475,NA,NA,1.027154162,0.786108895
1866,0.750637012,0.800455447,0.776268344,0.984173076,1.091272748,0.702102573,0.942344624,0.91596849,1.18451374,0.825260538,0.987195558,NA,NA,1.041467667,0.731432179
