,MPD01,MPD02,MPD03,MPD04,MPD05,MPD06,MPD07,MPD08,MPD09,MPD10,MPD11,MPD12,MPD14,MPD15,MPD16,SMD01,SMD02,SMD03,SMD04,SMD05,SMD06,SMD07,SMD08,SMD09,SMD10,SMD11,SMD12,SMD13,SMD14,SMD15,SMD16,SMD17,SMD18,TMD01,TMD02,TMD03,TMD04,TMD05,TMD06,TMD07,TMD08,TMD09,TMD10,TMD11,TMD12,TMD13,TMD14,TMD15,TMD16,TMD17,TMD18,TMD19,TMD20,VLD01,VLD02,VLD03,VLD04,VLD05,VLD06,VLD07,VLD08,VLD09,VLD10,VLD11,VLD12,VLD13,VLD14,VLD15
1935,0.705287038,0.983523211,0.678224995,0.869597388,0.563273573,0.802303146,0.448421677,1.19881116,0.384963684,0.680275075,0.524927244,0.939405181,0.675748952,1.187646387,1.120417549,1.100978433,0.946880401,0.76366914,0.668619229,1.035200366,0.586482713,0.837992022,0.59003109,0.843305186,1.111225539,0.588556439,0.883832947,1.334168478,0.990770834,0.836583559,0.568656629,0.953662953,1.019546126,1.164332737,0.846549123,1.041678275,0.922619803,0.926906476,0.898833125,0.976254572,1.319931234,0.773642953,1.170834683,0.867790585,0.884628086,0.873633549,0.766930309,0.996941945,1.127187379,1.105843419,0.733315996,0.79297805,NA,0.52162818,0.521107325,0.374670189,0.398979466,0.525454321,0.504493979,0.375291092,0.313967963,0.465628753,0.714477435,0.58668927,0.181586559,0.545353885,0.472997759,0.542949142
1936,0.782368112,0.654682751,0.724833143,0.915735242,1.137938919,0.740518444,0.881095781,1.196971449,0.981490539,1.206790111,0.621254891,0.885922568,0.599762213,0.672911688,1.025965714,0.886608891,0.958807557,0.824662685,0.653166417,0.706996792,0.591884352,0.58115255,0.513435836,0.644320784,0.541031272,0.640212567,0.786611403,1.347161539,0.643932886,1.212659632,0.742544939,0.867404352,1.218918255,0.72852426,0.834333879,0.912467708,0.94388391,0.965791805,0.754128702,0.994285581,1.107482472,0.666309381,0.853034375,0.743916598,0.666082536,0.85870219,0.899482137,0.983588552,1.226798234,0.720698587,0.799417656,0.7551607,NA,0.716984654,0.700765428,0.432237188,0.522538321,0.404723478,0.473667523,0.322507048,0.436950061,0.363024727,0.79642232,0.577546396,0.225446139,0.723607446,0.455717014,0.721993527
1937,0.695433832,0.837125401,0.539438295,0.951169373,1.037980719,0.829435272,0.563709358,0.978809486,0.457115224,0.686739691,0.743099013,0.585183956,0.637996441,0.925946115,1.166508667,0.793597881,0.906846323,0.863555769,0.622932515,0.847723354,0.601427517,0.791479812,0.393540863,0.611920569,0.493351764,0.631854571,0.893608524,1.268428701,1.088680002,1.305258579,0.638401722,1.171300041,1.121621406,0.788520228,1.34831987,1.194041705,0.99734429,1.057968744,0.74715762,0.917723833,1.323790232,0.876635414,0.740444789,0.879609036,0.668510036,1.033361581,0.797327908,1.115314939,1.034789077,1.041965822,0.792753637,0.684662543,NA,0.597473987,0.652327954,0.389792527,0.535199115,0.631772544,0.437097175,0.457184785,0.390457214,0.451673454,0.738639819,0.519344182,0.154817116,0.714720846,0.352015026,0.554669155
1938,0.789566366,0.882275574,0.588265679,0.7568495,0.747404417,0.544046919,0.504279639,1.246694503,0.371393643,0.71256992,0.465555786,1.119166941,0.773805428,1.097622701,0.783775965,0.882518543,0.774479407,1.020882428,0.857996125,1.065781108,0.734067109,0.968124424,0.72269635,0.74542541,0.70208805,0.757246195,1.107258112,1.057934018,0.999007352,0.964189157,0.666527457,1.179911618,0.705429345,1.01218829,1.15877999,1.213107502,0.74264613,1.185383702,0.696586662,1.096126303,1.418696175,1.137143816,0.715688803,1.145906752,0.833244679,0.755633735,0.614307944,1.128866909,1.020928294,0.663449529,0.819437391,0.701218769,NA,0.695185052,0.860132748,0.47001547,0.568979679,0.531263898,0.583610624,0.571544529,0.447519544,0.634516886,0.72017357,0.657482474,0.287361021,0.829360625,0.569480111,0.82250088
1939,0.657409475,0.673472227,0.51489207,0.709037366,0.680323391,0.620579019,0.381547205,0.723783845,0.484470084,0.57703456,0.459127437,0.635503879,0.531896641,0.774730689,0.582731326,0.812384045,0.730627156,0.721414965,0.481744271,0.521285325,0.506391581,0.656640679,0.176009036,0.468512865,0.316115819,0.34977116,0.601735397,0.952298618,0.761267726,0.786422743,0.687359795,0.797719496,0.795636406,0.687660907,0.754792205,1.040657291,0.667919971,0.761239423,0.633328688,0.749552655,1.031200948,0.59306547,0.469483044,0.963183875,0.548109388,0.701215867,0.575501184,0.858232624,0.817313685,0.849941697,0.822783659,0.405617082,NA,0.625911865,0.835720567,0.688661741,1.074271483,0.527799467,0.610828296,0.441267327,0.697956988,0.462829491,0.82146022,0.947603798,0.459628197,0.719624305,0.332923094,0.520158604
1940,1.115424563,1.185964841,0.739579905,0.85078633,0.854054597,0.818062218,0.522587716,1.231159077,0.81219205,0.651380546,0.911599839,0.856758196,0.742000023,1.28098545,0.814260321,0.852615674,0.825187503,0.933182064,0.753037871,0.897855425,0.774904545,0.879270361,0.63420221,0.741607053,0.638778041,0.50225988,0.936154288,0.812713418,1.085188508,0.831072112,0.777501051,1.058966999,0.819459716,0.730433669,0.684970561,0.832820103,0.786047828,1.090424044,0.65085151,0.71919417,0.945086461,1.017896388,0.605670365,0.90445688,0.728897847,0.946771255,0.623129491,0.836659858,0.922714655,0.688203404,0.70001551,0.65406709,NA,0.840741578,1.069326188,0.877903226,1.11784448,0.803248299,0.973350622,0.671616554,0.722088935,0.58963435,0.862410143,0.920376314,0.634972909,0.96037628,0.51120324,1.032708626
1941,0.86058034,0.835138994,0.69431106,0.93254756,1.16912553,0.918276248,0.591024021,1.425869402,0.591843874,0.60180206,0.504118934,0.896837032,0.677835001,1.195125342,0.586202323,0.759322594,0.638213857,1.125942669,0.570042312,0.912137979,0.778451688,1.015578783,0.495422977,0.716852296,0.610177003,0.54126489,1.008641417,1.530177433,1.088441199,1.566753189,0.727449523,1.68787783,1.437555833,0.733619744,0.769964497,1.133924795,0.52543426,1.241848825,0.789459241,0.935586393,1.331020314,1.183242573,0.482374164,0.917551308,0.752666842,1.112578385,0.61087063,0.987506577,0.999201402,0.438851023,0.706988329,0.488973577,NA,0.847278849,0.786431834,0.908379561,1.006311041,0.935721792,0.938229744,0.632443973,0.994517083,0.608971719,0.882932702,1.101971445,1.35568785,1.351693078,0.906563002,0.528556474
1942,1.127296719,1.71320034,1.253645746,1.329107459,1.666364361,1.31240018,1.180742309,1.591798006,1.29902252,1.038669688,0.988165457,1.587414332,1.083175525,1.319724187,0.930951584,1.43105832,1.06274714,1.344428834,1.095890793,1.314001322,1.291741238,1.218150091,0.807118483,0.980144179,1.048794325,0.883217406,1.562386916,1.781272752,1.613104516,1.89378097,1.535650789,1.921180851,1.874061939,1.11005428,1.015871215,1.137087268,1.037987999,1.404106883,1.057513375,1.052787949,1.290260321,1.115701875,0.948001252,1.327596829,1.033959205,1.377635959,1.220214993,1.247935803,1.508541946,0.898898725,1.020880397,1.181309151,NA,1.65695151,1.508679121,1.614540561,1.736930155,1.776542907,1.833420445,1.778227863,1.874088813,1.247909782,0.882993141,1.500671204,1.979939311,1.998966761,1.45537436,1.311000968
1943,0.887997618,0.767428187,1.087468993,0.742855439,1.202104441,0.939197523,0.864776409,1.145322884,0.644353868,1.006326683,0.965643263,1.391718056,1.043701394,1.051039171,0.933252925,1.216854643,1.169551644,1.026753675,0.9765809,1.040067998,1.022081244,1.026995694,0.843316995,0.864077172,0.926465794,0.755685003,0.904956252,1.252084165,1.394919328,1.064219721,1.142365289,1.29654925,0.958275906,0.97548712,0.729567463,0.770360777,1.068223745,1.15472328,0.654619242,1.124430735,1.027217537,1.084351714,1.058079111,0.950870915,1.25652805,1.290111863,1.467158697,1.046033162,1.401552921,0.963496325,1.206644119,1.221751719,NA,1.20599074,1.12124025,1.118489663,0.921946754,1.234822087,0.994406512,1.268903423,0.946376116,0.771770417,0.662007679,1.176509408,0.99637502,1.37345084,1.247574309,1.089533855
1944,1.243471945,1.188246125,1.251241139,1.026153737,1.459622721,1.203689638,0.914738491,1.688227633,1.272062492,0.9343556,0.550557594,1.307941882,1.022683,1.299325979,0.790551163,1.478020134,1.351905045,1.073297388,1.214257103,1.111482972,1.10408485,1.032778995,0.88190396,1.074750855,0.974142255,0.834771735,1.091817147,1.116332668,1.106796301,0.954643294,1.223172912,1.145906589,1.03263713,1.235769598,0.997579249,1.104176428,0.781712167,1.329007257,0.964496031,1.190052301,0.957112108,1.276061675,1.117518091,1.114625059,1.414393855,1.282549787,1.259718454,1.146814239,1.608887496,0.942096814,1.026809155,1.296733316,0.929993074,0.814106797,1.08688431,1.327321398,1.15088309,1.545195906,1.015741437,1.078586682,1.528488697,0.820196334,0.761741463,0.918653324,1.595836271,1.126985772,0.935467454,0.895149013
